Company,Group,Prev Close (Rs),Current Price (Rs),% Change
Sula Vineyards,B,431.05,438.00,+ 1.61
Cupid Ltd.,B,262.75,266.95,+ 1.60
Monarch Networth Cap,B,209.85,213.20,+ 1.60
Waaree Renewable Tec,X,965.55,981.00,+ 1.60
Shree Ganesh Remedie,B,294.25,298.95,+ 1.60
Shree Cement,A,"24,460.20","24,851.45",+ 1.60
Virat Industries,X,223.40,226.95,+ 1.59
Banaras Beads Li,B,81.21,82.50,+ 1.59
Likhitha Infrastruct,B,296.30,301.00,+ 1.59
Adani Wilmar,A,388.95,395.15,+ 1.59
KPI Green Energy,B,477.40,485.00,+ 1.59
HP Adhesives,B,400.15,406.50,+ 1.59
Suven Life Sciences,B,58.18,59.10,+ 1.58
Ramasigns Industries,X,3.16,3.21,+ 1.58
Oriental Carbon,B,756.05,768.00,+ 1.58
Trigyn Technolog,B,98.83,100.39,+ 1.58
Skipper Ltd.,B,124.55,126.50,+ 1.57
Fineotex Chemical Lt,A,254.75,258.75,+ 1.57
Kalyan Jewellers Ind,A,104.80,106.45,+ 1.57
Zee Media Corp,B,8.92,9.06,+ 1.57
RHI Magnesita India,A,661.40,671.70,+ 1.56
South Indian Ban,A,16.09,16.34,+ 1.55
Shree Digvijay,B,74.67,75.82,+ 1.54
DJ Mediaprint & Logi,B,143.20,145.40,+ 1.54
Zensar Technologies,A,304.30,309.00,+ 1.54
Hisar Metal Indu,B,139.80,141.95,+ 1.54
Confidence Petroleum,B,58.33,59.23,+ 1.54
MOIL,A,156.95,159.35,+ 1.53
HPL Electric & Power,B,93.51,94.94,+ 1.53
Oracle Financial Ser,A,"3,493.10","3,546.40",+ 1.53
Intellect Design,A,458.85,465.85,+ 1.53
SI Capital & Fin,XT,29.55,30.00,+ 1.52
Rossari Biotech,A,692.05,702.55,+ 1.52
Kokuyo Camlin,B,76.54,77.70,+ 1.52
Kalyani Investment,B,"1,726.00","1,752.25",+ 1.52
IFB Agro Indus,B,480.70,488.00,+ 1.52
Colgate Palm.,A,"1,603.60","1,628.00",+ 1.52
Cranes Software Int.,X,2.63,2.67,+ 1.52
Ortin Laborator.,B,19.70,20.00,+ 1.52
Gallantt Ispat,B,53.18,53.99,+ 1.52
Karur Vysya Bank,B,95.20,96.64,+ 1.51
Piramal Pharma,B,75.87,77.01,+ 1.50
Piccadily Sugar,X,16.63,16.88,+ 1.50
Caprihans India,X,107.00,108.60,+ 1.50
Navkar Corporation L,B,57.24,58.10,+ 1.50
DHP India Ltd.,X,962.65,977.00,+ 1.49
Rajesh Exports L,A,601.05,610.00,+ 1.49
Nahar Capital & Fina,B,278.75,282.90,+ 1.49
Bodal Chemicals,B,67.99,69.00,+ 1.49
Jindal Stainless,A,292.75,297.10,+ 1.49
Bharat Dynamics,A,"1,006.95","1,022.00",+ 1.49
Gayatri BioOrganics,XT,8.72,8.85,+ 1.49
GHCL,A,495.30,502.65,+ 1.48
Natural Biocon (I),X,6.75,6.85,+ 1.48
Mishra Dhatu Nig,A,202.75,205.75,+ 1.48
Blue Star,A,"1,409.20","1,430.10",+ 1.48
Mangalore Refine,A,62.03,62.95,+ 1.48
Oriental Aromatics,B,377.55,383.15,+ 1.48
Sarda Energy & Miner,A,"1,124.90","1,141.60",+ 1.48
Guj. Alkalie & C,A,682.75,692.80,+ 1.47
Phoenix Mills,A,"1,464.70","1,486.30",+ 1.47
Jubilant Ingrevia,A,415.90,422.00,+ 1.47
Kennametal India,A,"2,365.20","2,400.00",+ 1.47
MFL India,X,0.68,0.69,+ 1.47
Sunshield Chemic,X,572.60,581.00,+ 1.47
Sah Polymers,B,81.47,82.66,+ 1.46
Ipca Laboratorie,A,693.95,704.05,+ 1.46
Tamilnadu Telecom,T,6.15,6.24,+ 1.46
Williamson Magor,B,20.54,20.84,+ 1.46
Seamec Ltd.,B,732.95,743.65,+ 1.46
Asian Star Co,B,690.00,700.05,+ 1.46
Poddar Pigments,B,302.65,307.05,+ 1.45
Bharat Gears,B,120.30,122.05,+ 1.45
Cindrella Financ,XT,8.97,9.10,+ 1.45
HB Stockholding,B,49.24,49.95,+ 1.44
India Tourism De,B,320.30,324.90,+ 1.44
Acknit Industries Lt,X,141.95,144.00,+ 1.44
Tata Chemicals,A,974.55,988.55,+ 1.44
Garware Hi-Tech Film,B,580.10,588.45,+ 1.44
Tamilnad Mercantile,B,415.25,421.20,+ 1.43
Divyashakti,X,78.85,79.98,+ 1.43
Nath Industries,X,58.13,58.96,+ 1.43
Lee Nee Software,X,7.00,7.10,+ 1.43
Terai Tea Compan,X,70.99,72.00,+ 1.42
Brijlaxmi Leasin,X,4.23,4.29,+ 1.42
Hinduja Global Solut,A,"1,108.20","1,123.90",+ 1.42
Kesar Petroprod.,X,5.65,5.73,+ 1.42
Repro India Ltd.,B,408.25,414.00,+ 1.41
Diligent Industries,X,9.94,10.08,+ 1.41
Sudarshan Pharma Ind,M,68.03,68.99,+ 1.41
Finolex Cables,A,887.70,900.20,+ 1.41
Titagarh Wagons Ltd.,B,336.55,341.30,+ 1.41
Narayana Hrudayalaya,A,753.10,763.70,+ 1.41
Puravankara,B,78.45,79.55,+ 1.40
Kaiser Corporation,X,35.01,35.50,+ 1.40
Shoppers Stop,A,678.50,688.00,+ 1.40
Warren Tea,X,57.50,58.30,+ 1.39
Trio Mercantile & Tr,X,0.72,0.73,+ 1.39
Polyplex Corpn.,A,"1,400.90","1,420.40",+ 1.39
Vista Pharmaceut,X,9.38,9.51,+ 1.39
Avro India,B,122.20,123.90,+ 1.39
RPG Life Sciences,B,780.85,791.65,+ 1.38
Tokyo Plast Inte,B,93.16,94.45,+ 1.38
Tribhovandas Bhimji,B,71.27,72.25,+ 1.38
NBCC (India),A,40.84,41.40,+ 1.37
GTN Industries,X,33.61,34.07,+ 1.37
SVP Global Textiles,B,14.60,14.80,+ 1.37
JK Tyre & Industries,A,195.55,198.20,+ 1.36
India Nippon Ele,B,359.85,364.75,+ 1.36
Vaswani Industries L,B,20.52,20.80,+ 1.36
Kansai Nerolac Paint,A,405.00,410.50,+ 1.36
LIC Housing Fi,A,372.55,377.60,+ 1.36
GKB Ophthalmic,X,99.60,100.95,+ 1.36
20 Microns Ltd.,B,82.28,83.40,+ 1.36
Shalimar Wires Ind.,X,12.46,12.63,+ 1.36
Sona BLW Precision,A,540.10,547.40,+ 1.35
Godrej Agrovet L,A,421.95,427.65,+ 1.35
RSWM Ltd.,B,178.35,180.75,+ 1.35
JK Agri Genetics Ltd,X,444.00,450.00,+ 1.35
Arshiya,B,5.94,6.02,+ 1.35
Welspun Specialty,X,19.98,20.25,+ 1.35
Century Plyboards,A,550.35,557.75,+ 1.34
ABB India,A,"3,815.75","3,866.80",+ 1.34
Simran Farms Lim,X,104.40,105.80,+ 1.34
Himadri Speciality,A,120.85,122.45,+ 1.32
Texmaco Infrastructu,B,55.25,55.98,+ 1.32
Honda India Power,B,"2,468.30","2,501.00",+ 1.32
Zomato,A,61.70,62.51,+ 1.31
Burnpur Cement Ltd.,B,4.58,4.64,+ 1.31
Raghav Productivity,B,931.80,944.00,+ 1.31
West Coast Paper,A,559.60,566.95,+ 1.31
Astec Lifesciences L,A,"1,334.40","1,351.70",+ 1.30
NTPC,A,176.90,179.20,+ 1.30
Fine Line Circu.,X,57.78,58.53,+ 1.30
Sonata Software,A,851.00,862.00,+ 1.29
InterGlobe Aviation,A,"2,223.85","2,252.45",+ 1.29
Poly Medicure Lt,A,966.30,978.80,+ 1.29
Vardhman Special St,B,391.90,396.95,+ 1.29
Alexander Stamps,X,16.24,16.45,+ 1.29
Motherson Sumi Wirin,A,55.74,56.46,+ 1.29
Winsome Textile,B,57.21,57.95,+ 1.29
Shree Hanuman Sugar,X,5.46,5.53,+ 1.28
Action Construction,A,434.15,439.70,+ 1.28
Indo Asia Finance,X,11.74,11.89,+ 1.28
Balrampur Chini,A,405.70,410.90,+ 1.28
Amraworld Agrico Ltd,X,0.78,0.79,+ 1.28
Adani Green Energy,A,902.20,913.70,+ 1.27
Earthstahl & Alloys,M,58.90,59.65,+ 1.27
Upsurge Investme,X,35.55,36.00,+ 1.27
Indian Overseas,A,24.50,24.81,+ 1.27
IndusInd Bank,A,"1,172.75","1,187.55",+ 1.26
Panchsheel Organ,X,174.80,177.00,+ 1.26
Excel Industries,B,935.10,946.85,+ 1.26
Sundaram Clayton,A,"4,177.60","4,230.05",+ 1.26
Balaji Amines Li,A,"2,354.30","2,384.00",+ 1.26
Munjal Showa Ltd,B,94.56,95.75,+ 1.26
Donear Industrie,B,100.05,101.30,+ 1.25
KM Sugar Mills,B,28.03,28.38,+ 1.25
India Cements Lt,A,194.30,196.70,+ 1.24
Unick Fix-A-Form,XT,40.20,40.70,+ 1.24
Subex Ltd.,A,32.21,32.61,+ 1.24
UltraTech Cement,A,"7,744.10","7,839.95",+ 1.24
Bharat Seats,X,98.01,99.22,+ 1.23
Bank of Maharash,A,29.96,30.33,+ 1.23
Triveni Enterprises,X,3.25,3.29,+ 1.23
Malu Paper Mills,B,35.17,35.60,+ 1.22
VST Tillers Tr,B,"2,458.10","2,488.00",+ 1.22
Coromandel Internati,A,959.05,970.75,+ 1.22
ACI Infocom Ltd.,X,0.82,0.83,+ 1.22
Gokaldas Exports,A,381.50,386.15,+ 1.22
Paramount Commun,B,37.85,38.31,+ 1.22
Aditya Spinners,XT,19.86,20.10,+ 1.21
Avadh Sugar & Energy,B,510.40,516.60,+ 1.21
Birla Corporation Lt,A,998.40,"1,010.50",+ 1.21
Swan Energy Ltd.,A,235.00,237.85,+ 1.21
CMI L,B,12.55,12.70,+ 1.20
AXISCADES Technologi,B,333.60,337.60,+ 1.20
Shivalik Rasayan,B,710.05,718.60,+ 1.20
Andhra Petro,X,63.40,64.16,+ 1.20
Meera Industries,B,38.52,38.98,+ 1.19
Dabur India,A,514.25,520.35,+ 1.19
PSP Projects,A,738.20,746.95,+ 1.19
Maan Aluminium Ltd.,B,185.15,187.35,+ 1.19
AMJ Land Holdings L,B,24.66,24.95,+ 1.18
Hind Aluminium Indus,X,38.05,38.50,+ 1.18
Zuari Industries,B,123.10,124.55,+ 1.18
Peninsula Land L,B,18.64,18.86,+ 1.18
Natural Capsules,X,462.60,468.00,+ 1.17
KPT Industries,X,381.20,385.65,+ 1.17
Cholamandalam Invest,A,989.45,"1,001.00",+ 1.17
Asian Tea Export,X,11.99,12.13,+ 1.17
LTIMindtree,A,"4,596.60","4,650.00",+ 1.16
Lakshmi Mill Co.,X,"3,534.10","3,575.00",+ 1.16
Magna Electrocas,X,327.10,330.90,+ 1.16
IL&FS Investment Man,B,6.04,6.11,+ 1.16
Mufin Green Finance,X,125.25,126.70,+ 1.16
Credent Global Fin,X,121.10,122.50,+ 1.16
Syncom Formul.,B,6.10,6.17,+ 1.15
Garware Tech. Fibres,A,"2,905.05","2,938.45",+ 1.15
Ind-Swift L,B,8.68,8.78,+ 1.15
RPSG Ventures,B,466.00,471.35,+ 1.15
Dharani Sugars,Z,8.80,8.90,+ 1.14
Kkalpana lndustries,X,11.37,11.50,+ 1.14
Aimco Pesticides,X,110.00,111.25,+ 1.14
IDFC First Bank,A,64.05,64.78,+ 1.14
Sangal Papers Li,XT,151.05,152.75,+ 1.13
Hind.ConstructionCo.,A,15.87,16.05,+ 1.13
Borosil Renewables,A,505.60,511.25,+ 1.12
Bombay Cycle,X,711.95,719.90,+ 1.12
Atlanta Ltd.,B,14.34,14.50,+ 1.12
Bandhan Bank,A,236.25,238.90,+ 1.12
AutoCorpn of Goa,X,814.80,823.95,+ 1.12
NRB Bearings Lim,B,148.60,150.25,+ 1.11
Emami Realty,B,66.91,67.65,+ 1.11
Brady & Morris E,X,252.05,254.85,+ 1.11
Dhunseri Tea & Indus,B,204.35,206.60,+ 1.10
Tamilnadu Petroprod,B,81.49,82.39,+ 1.10
Vaksons Automobiles,B,17.26,17.45,+ 1.10
Omaxe Ltd.,B,53.02,53.60,+ 1.09
Heubach Colorants,B,314.60,318.00,+ 1.08
Deep Industries,B,162.00,163.75,+ 1.08
Photoquip (India,X,22.26,22.50,+ 1.08
PNC Infratech,A,309.10,312.45,+ 1.08
Calcom Vision,X,163.25,165.00,+ 1.07
Paul Merchants,X,"1,306.00","1,320.00",+ 1.07
Clean Science & Tech,A,"1,490.85","1,506.75",+ 1.07
AMD Industries Ltd.,B,56.89,57.50,+ 1.07
Pasupati Acrylon,B,28.97,29.28,+ 1.07
Ritesh Properties &,B,45.32,45.80,+ 1.06
Orient Paper,B,45.34,45.82,+ 1.06
Sacheta Metals L,X,18.80,19.00,+ 1.06
Race Eco Chain,B,239.55,242.10,+ 1.06
Sakuma Exports,B,12.24,12.37,+ 1.06
CreditAccess Grameen,A,"1,031.00","1,041.95",+ 1.06
AIA Engineering,A,"2,701.85","2,730.55",+ 1.06
Uflex Ltd.,A,426.95,431.45,+ 1.05
Artson Engg.,X,66.70,67.40,+ 1.05
3P Land Holdings,B,21.96,22.19,+ 1.05
Agri-Tech (India),B,104.50,105.60,+ 1.05
Himalaya Food Inter,X,22.93,23.17,+ 1.05
Quick Heal Technolog,B,138.20,139.65,+ 1.05
Hind. Tin Works,X,98.64,99.68,+ 1.05
Tata Power Co.,A,204.10,206.25,+ 1.05
Va Tech Wabag,B,419.60,424.00,+ 1.05
S P Capital Financin,X,16.33,16.50,+ 1.04
Antony Waste Handlin,B,265.15,267.90,+ 1.04
Syngene Internationa,A,701.25,708.55,+ 1.04
Ujjivan Financial,A,283.70,286.65,+ 1.04
Alembic Ltd.,B,64.35,65.02,+ 1.04
Astron Paper & Board,B,28.01,28.30,+ 1.04
Om Infra,B,41.36,41.79,+ 1.04
Sunflag Iron,B,168.65,170.40,+ 1.04
Alufluoride Ltd.,X,321.65,324.95,+ 1.03
Rainbow Denim Ltd.,Z,3.89,3.93,+ 1.03
Avenue Supermarts,A,"3,670.90","3,708.65",+ 1.03
Hind. Composites,B,296.95,300.00,+ 1.03
Ashapuri Gold Ornam,T,80.92,81.75,+ 1.03
B L Kashyap & Sons,B,38.87,39.27,+ 1.03
Tata Elxsi,A,"7,122.35","7,195.25",+ 1.02
Orient Electric,A,219.85,222.10,+ 1.02
Kakatiya Cement Suga,B,203.45,205.50,+ 1.01
Monte Carlo Fashions,B,691.00,698.00,+ 1.01
The Ramco Cements,A,767.45,775.20,+ 1.01
Shyam Century Ferro,B,18.81,19.00,+ 1.01
Bazel International,XT,37.68,38.06,+ 1.01
Surya Roshni Ltd,A,818.20,826.45,+ 1.01
Impex Ferro Tech Ltd,B,2.96,2.99,+ 1.01
ISF Ltd.,X,1.98,2.00,+ 1.01
Manappuram Finance,A,114.35,115.50,+ 1.01
Nahar Indust.Ent,B,109.50,110.60,+ 1.00
Faze Three Ltd.,B,325.25,328.50,+ 1.00
Somi Conveyor Beltin,B,48.17,48.65,+ 1.00
Chennai Meenakshi Mu,X,20.00,20.20,+ 1.00
Eris Lifesciences,A,632.65,639.00,+ 1.00
Aurionpro Solutions,B,489.90,494.75,+ 0.99
BKV Industries Ltd.,XT,8.12,8.20,+ 0.99
Hitachi Energy India,A,"3,766.70","3,804.00",+ 0.99
JTEKT India,B,121.70,122.90,+ 0.99
D & H India,X,74.30,75.03,+ 0.98
Music Broadcast,B,11.22,11.33,+ 0.98
SPIC,B,69.06,69.74,+ 0.98
Ambuja Cements Ltd.,A,408.10,412.10,+ 0.98
Prismx Global Ventur,X,2.06,2.08,+ 0.97
Amal Ltd.,X,247.60,250.00,+ 0.97
The Andhra Sugars,B,118.65,119.80,+ 0.97
TTK Prestige L,A,713.25,720.15,+ 0.97
Expo Gas Contain,X,12.32,12.44,+ 0.97
Vadilal Indus.,B,"2,306.05","2,328.10",+ 0.96
Dilip Buildcon Ltd.,A,177.00,178.70,+ 0.96
Ethos Ltd.,B,"1,298.65","1,311.10",+ 0.96
Salora Intl.,X,32.19,32.50,+ 0.96
Steel Strips Wheels,A,150.90,152.35,+ 0.96
Timken India,A,"3,128.10","3,158.10",+ 0.96
South India Pape,X,115.10,116.20,+ 0.96
Megri Soft,X,98.90,99.85,+ 0.96
Viji Finance,B,2.11,2.13,+ 0.95
Repco Home Finance L,B,205.45,207.40,+ 0.95
Bimetal Bear.,X,448.50,452.75,+ 0.95
Nureca Ltd,B,331.75,334.90,+ 0.95
Guj. Terce Labor,X,20.00,20.19,+ 0.95
ZF Commercial Vehicl,A,"10,493.05","10,592.75",+ 0.95
Krypton Ind.,X,20.01,20.20,+ 0.95
Vipul Ltd.,B,16.83,16.99,+ 0.95
Aster DM Healthcare,A,244.60,246.90,+ 0.94
CESC Ltd.,A,69.11,69.76,+ 0.94
Poona Dal & Oil,X,53.10,53.60,+ 0.94
Zydus Wellness Ltd.,A,"1,519.40","1,533.70",+ 0.94
L&T Finance Holdings,A,94.99,95.88,+ 0.94
Hind. Petrol,A,256.00,258.40,+ 0.94
Sandesh,B,916.00,924.50,+ 0.93
Udaipur Cement Works,B,29.07,29.34,+ 0.93
Jindal Hotels,X,41.81,42.20,+ 0.93
Northern Spirits,M,259.00,261.40,+ 0.93
Sharanam Infra,X,1.07,1.08,+ 0.93
Variman Global Enter,X,13.97,14.10,+ 0.93
Starlineps Enterpris,B,107.45,108.45,+ 0.93
Escorts Kubota,A,"2,048.60","2,067.70",+ 0.93
Parvati Sweetners,X,6.43,6.49,+ 0.93
Maruti Suzuki India,A,"9,165.80","9,251.00",+ 0.93
KPR Mill Ltd.,A,562.10,567.30,+ 0.93
Sutlej Textiles & In,B,46.56,46.99,+ 0.92
Hind. Hardy Spic,X,278.40,280.95,+ 0.92
Polson Ltd.,X,"11,612.55","11,719.00",+ 0.92
Bafna Pharmaceutical,T,83.04,83.80,+ 0.92
Panafic Industrials,X,1.09,1.10,+ 0.92
Anand Rathi Wealth,A,870.05,878.00,+ 0.91
Deep Energy Resource,B,116.00,117.05,+ 0.91
ABM Knowledgeware,X,83.21,83.97,+ 0.91
Britannia Ind.,A,"4,605.80","4,647.50",+ 0.91
Shakti Pumps (In,B,424.20,428.05,+ 0.91
The Indian Card Clot,B,251.55,253.85,+ 0.91
Apollo Pipes,B,625.15,630.75,+ 0.90
Rane Holdings Ltd.,B,960.75,969.40,+ 0.90
Compuage Infocom Ltd,B,13.36,13.48,+ 0.90
P&G Hygiene&Health,A,"13,713.80","13,836.90",+ 0.90
Oberoi Realty,A,940.80,949.30,+ 0.90
Walchandnagar,B,65.50,66.09,+ 0.90
Borosil L,A,394.40,397.90,+ 0.89
Avonmore Capital,B,64.85,65.43,+ 0.89
Prima Plastics L,X,134.50,135.70,+ 0.89
Dhunseri Ventures,B,236.40,238.50,+ 0.89
MCX,A,"1,360.30","1,372.40",+ 0.89
Shreyans Inds.,B,169.45,170.95,+ 0.89
G R Infraprojects,A,"1,028.85","1,037.95",+ 0.88
Indigo Paints,A,"1,277.90","1,289.15",+ 0.88
PTC India,B,92.50,93.31,+ 0.88
Dev Information Tech,B,94.73,95.55,+ 0.87
Satia Industries,B,114.30,115.30,+ 0.87
Ujjivan SmallFinance,A,29.00,29.25,+ 0.86
Nilachal Refrctr,X,35.00,35.30,+ 0.86
T & I Global Lim,X,175.10,176.60,+ 0.86
Cyber Media (India),B,16.46,16.60,+ 0.85
Supreme Inds.,A,"2,751.65","2,774.95",+ 0.85
Bhagyanagar India Lt,B,49.47,49.89,+ 0.85
Dollar Industries,A,363.90,367.00,+ 0.85
Bosch Ltd.,A,"19,359.05","19,523.00",+ 0.85
SEL Manufacturing Co,T,147.35,148.60,+ 0.85
Rasi Electrodes,X,14.17,14.29,+ 0.85
HDFC Life Insurance,A,562.50,567.25,+ 0.84
Page Industries Ltd.,A,"41,382.15","41,730.00",+ 0.84
Vedavaag Systems,X,41.55,41.90,+ 0.84
Ambalal Sarabhai,X,22.56,22.75,+ 0.84
Stove Kraft,A,440.10,443.80,+ 0.84
Indian Hume Pipe,B,138.85,140.00,+ 0.83
DCM Shriram,A,822.05,828.90,+ 0.83
Sharp Investments,X,1.20,1.21,+ 0.83
The Byke Hospitality,B,40.00,40.33,+ 0.83
Engineers India,A,99.29,100.11,+ 0.83
Patanjali Foods,T,932.50,940.20,+ 0.83
Fermenta Biotech,X,149.85,151.10,+ 0.83
Shyam Metalics,A,300.60,303.10,+ 0.83
Ucal Fuel System,B,121.90,122.90,+ 0.82
Andrew Yule & Co,B,23.31,23.50,+ 0.82
Shree Ajit Pulp,X,268.35,270.55,+ 0.82
LGB Forge Ltd.,B,8.55,8.62,+ 0.82
Unison Metals Ltd.,XT,20.82,20.99,+ 0.82
Mahindra Lifespace D,A,372.65,375.70,+ 0.82
GSS Infotech,B,198.40,200.00,+ 0.81
GCM Securities Ltd.,B,2.46,2.48,+ 0.81
Ashirwad Steels,X,21.07,21.24,+ 0.81
Zenith Fibres,X,66.80,67.34,+ 0.81
Next Mediaworks,B,4.91,4.95,+ 0.81
WPIL Ltd.,B,"2,889.20","2,912.20",+ 0.80
Kriti Nutrients,B,46.48,46.85,+ 0.80
Baid Finserv,B,35.22,35.50,+ 0.80
Dynamic Cables,B,190.30,191.80,+ 0.79
Heritage Foods,B,183.00,184.45,+ 0.79
Man Infraconstructio,A,86.62,87.30,+ 0.79
Crisil,A,"3,512.25","3,540.00",+ 0.79
Polycab India,A,"3,209.30","3,234.70",+ 0.79
Sun Pharma.,A,953.80,961.25,+ 0.78
Space Incubatrics,X,1.29,1.30,+ 0.78
Pressure Sensiti,X,9.02,9.09,+ 0.78
Chemcon Speciality,B,274.15,276.30,+ 0.78
Saboo Sodium Ch,X,17.90,18.04,+ 0.78
Standard Batteri,X,30.59,30.83,+ 0.78
Voltas Ltd.,A,807.25,813.55,+ 0.78
Sreeleathers Ltd.,B,186.00,187.45,+ 0.78
Aptech,B,439.25,442.65,+ 0.77
PB Fintech,A,613.75,618.45,+ 0.77
Salzer Electr.,B,331.35,333.90,+ 0.77
Radhagobind Commerci,Z,26.10,26.30,+ 0.77
Welcure Drugs &,X,3.92,3.95,+ 0.77
Damodar Industries,B,43.01,43.34,+ 0.77
BCC Fuba India,XT,23.32,23.50,+ 0.77
Ajwa Fun World &,P,19.84,19.99,+ 0.76
Punj. & Sind Ban,B,31.57,31.81,+ 0.76
Bilcare Ltd.,X,44.62,44.96,+ 0.76
Valiant Organics,A,471.80,475.40,+ 0.76
A2Z Infra Engineer,B,6.57,6.62,+ 0.76
PTC India Financial,B,15.89,16.01,+ 0.76
Neogen Chemicals,A,"1,527.90","1,539.55",+ 0.76
City Union Bank,A,137.95,139.00,+ 0.76
S H Kelkar & Company,B,105.00,105.80,+ 0.76
YES Bank Ltd.,A,15.96,16.08,+ 0.75
GFL L,B,57.62,58.05,+ 0.75
Catvision Ltd.,XT,13.49,13.59,+ 0.74
DCX Systems,B,182.45,183.80,+ 0.74
Nexus Surgical,X,9.48,9.55,+ 0.74
Sambhaav Media Ltd.,B,2.72,2.74,+ 0.74
Creative Eye,B,4.07,4.10,+ 0.74
Vishnu Chemicals,B,309.15,311.45,+ 0.74
Emami,A,384.85,387.65,+ 0.73
Modi Naturals,X,233.30,235.00,+ 0.73
Yaan Enterprises,X,20.50,20.65,+ 0.73
Max Healthcare Inst.,A,480.05,483.55,+ 0.73
Parshva Enterprises,T,165.30,166.50,+ 0.73
High Energy Bat.,X,393.00,395.85,+ 0.73
Nila Spaces L,B,2.78,2.80,+ 0.72
Thirumalai Chem.,A,200.85,202.30,+ 0.72
Prism Johnson,A,117.75,118.60,+ 0.72
Rexnord Electron,X,132.30,133.25,+ 0.72
Singer India,X,77.75,78.31,+ 0.72
Tree House Education,B,19.43,19.57,+ 0.72
Intense Technologies,B,63.49,63.95,+ 0.72
Latent View Analytic,A,335.50,337.90,+ 0.72
Star Cement,A,126.10,127.00,+ 0.71
Panasonic Carbon Ind,X,354.50,357.00,+ 0.71
Graphite India Ltd.,A,331.40,333.75,+ 0.71
MosChip Technologies,B,63.55,64.00,+ 0.71
Galaxy Surfacta.,A,"2,505.15","2,523.00",+ 0.71
Lambodhara Texti,B,217.60,219.15,+ 0.71
Rana Sugars,B,22.96,23.12,+ 0.70
ABC India Ltd.,X,71.50,72.00,+ 0.70
N K Industries L,B,44.59,44.90,+ 0.70
Castrol India,A,114.75,115.55,+ 0.70
Hawkins Cookers,A,"6,435.90","6,480.00",+ 0.69
Kovai Medical,B,"1,976.45","1,990.00",+ 0.69
Deepak Spinners,X,248.10,249.80,+ 0.69
Svam Software Li,X,2.90,2.92,+ 0.69
Paushak Ltd.,A,"7,003.60","7,052.05",+ 0.69
Aditya Birla Money L,B,51.09,51.44,+ 0.69
Tata Teleservices (M,A,62.43,62.86,+ 0.69
EIH Ltd.,A,188.75,190.05,+ 0.69
Vijay Solvex Ltd,XT,812.40,818.00,+ 0.69
HEG Ltd.,A,"1,206.80","1,215.00",+ 0.68
Suumaya Corporation,M,11.74,11.82,+ 0.68
India Lease,X,5.86,5.90,+ 0.68
Kama Holdings Ltd.,A,"12,539.40","12,625.05",+ 0.68
Prime Fresh,M,205.00,206.40,+ 0.68
Fluidomat,X,236.40,238.00,+ 0.68
Himatsingka Seid,B,86.41,87.00,+ 0.68
Orchasp,X,2.93,2.95,+ 0.68
I P Rings Ltd.,X,93.17,93.80,+ 0.68
ASI Industries,X,11.75,11.83,+ 0.68
Mishtann Foods L,X,7.30,7.35,+ 0.68
PVR Ltd.,A,"1,446.10","1,455.75",+ 0.67
Anupam Rasayan India,A,"1,134.30","1,141.90",+ 0.67
Dhanlaxmi Bank,B,16.31,16.42,+ 0.67
Indraprastha Med,T,83.69,84.25,+ 0.67
Atul Ltd.,A,"6,862.80","6,908.80",+ 0.67
Sportking India,A,698.30,703.00,+ 0.67
Dixon Technologies,A,"2,891.25","2,910.70",+ 0.67
Ruby Mills,B,182.10,183.30,+ 0.66
KCP Sugar & In,B,25.59,25.76,+ 0.66
BCPL Railway Infrast,B,45.65,45.95,+ 0.66
ICRA Ltd.,B,"4,751.30","4,782.85",+ 0.66
Wonderla Holidays Lt,B,455.45,458.45,+ 0.66
Xtglobal Infotech,X,33.20,33.42,+ 0.66
Redington L,A,173.60,174.75,+ 0.66
